index,brand,product,name,specific,lightness,hex,lightToDark,numbers,id
2976,Exa,High Fidelity Foundation,Carolina,510,0.747058823529412,#ECC291,False,510.0,115.0
2977,SMITH & CULT,Veiled Threat Weightless Micro-Blurring Foundation,Cool,510,0.311764705882353,#7C4123,True,510.0,95.0
2978,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,,R510,0.349019607843137,#7B4E37,True,510.0,122.0
2979,Rare Beauty by Selena Gomez,Liquid Touch Weightless Foundation,,510W,0.347058823529412,#7D4C34,True,510.0,98.0
2980,MAKE UP FOR EVER,Matte Velvet Skin Blurring Powder Foundation,,R510Coffee,0.63921568627451,#CB907B,True,510.0,126.0
2981,HUDA BEAUTY,#FauxFilter Skin Finish Buildable Coverage Foundation Stick,,510R,0.513725490196078,#B17655,True,510.0,100.0
2982,Gucci,Fluide De Beauté Fini Naturel - Natural Finish Fluid Foundation,,510C,0.394117647058824,#8F553A,True,510.0,116.0
2983,MAKE UP FOR EVER,Matte Velvet Skin Full Coverage Foundation,,R510,0.472549019607843,#9E7753,True,510.0,123.0
2984,HUDA BEAUTY,#FauxFilter Full Coverage Matte Foundation,Cocoa,510R,0.394117647058824,#8F653A,True,510.0,101.0
2985,Shiseido,Synchro Skin Self-Refreshing Foundation SPF 30,,510,0.533333333333333,#AE8262,True,510.0,117.0
2986,Shiseido,Synchro Skin Self-Refreshing Custom Finish Powder Foundation,Suede,510,0.501960784313725,#9F7461,True,510.0,119.0
2987,Origins,Pretty in Bloom™ SPF 20 Flower-Infused Long-Wear Foundation,,510,0.66078431372549,#C7A38A,True,510.0,102.0
2988,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,,Y513,0.480392156862745,#9B785A,True,513.0,122.0
2989,MAKE UP FOR EVER,Matte Velvet Skin Full Coverage Foundation,,Y513,0.462745098039216,#A37D49,True,513.0,123.0
2990,Anastasia Beverly Hills,Luminous Foundation,,520W,0.213725490196078,#4F2E1E,True,520.0,91.0
2991,Lancôme,Dual Finish Multi-Tasking Lightweight Pressed Powder Foundation,Suede,520,0.411764705882353,#AE5524,True,520.0,120.0
2992,Lancôme,Teint Idole Ultra Wear 24H Long Wear Foundation,Suede W,520,0.337254901960784,#854C27,True,520.0,88.0
2993,Juvia's Place,I Am Magic Foundation,Tangier,520,0.619607843137255,#DD9B5F,False,520.0,93.0
2994,CoverGirl,Clean Fresh Skin Milk Foundation,Fair,520,0.798039215686275,#EFC6A8,True,520.0,130.0
2995,Exa,High Fidelity Foundation,Joshua,520,0.727450980392157,#E2B391,False,520.0,115.0
2996,Rare Beauty by Selena Gomez,Liquid Touch Weightless Foundation,,520W,0.433333333333333,#946949,True,520.0,98.0
2997,MAKE UP FOR EVER,Matte Velvet Skin Blurring Powder Foundation,,R520Cinnamon,0.598039215686274,#C88469,True,520.0,126.0
2998,HUDA BEAUTY,#FauxFilter Skin Finish Buildable Coverage Foundation Stick,,520G,0.509803921568627,#A7785D,True,520.0,100.0
2999,Gucci,Fluide De Beauté Fini Naturel - Natural Finish Fluid Foundation,,520O,0.298039215686275,#684130,True,520.0,116.0
3000,HUDA BEAUTY,#FauxFilter Full Coverage Matte Foundation,Nutmeg,520G,0.423529411764706,#966B42,True,520.0,101.0
3001,Shiseido,Synchro Skin Self-Refreshing Foundation SPF 30,,520,0.513725490196078,#AD7459,True,520.0,117.0
3002,MAKE UP FOR EVER,Water Blend Face & Body Foundation,,R520,0.480392156862745,#A26E53,True,520.0,129.0
3003,Origins,Pretty in Bloom™ SPF 20 Flower-Infused Long-Wear Foundation,,520,0.650980392156863,#C4A088,True,520.0,102.0
3004,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,,Y522,0.454901960784314,#956C53,True,522.0,122.0
3005,MAKE UP FOR EVER,Matte Velvet Skin Full Coverage Foundation,,Y523,0.43921568627451,#997447,True,523.0,123.0
3006,MAKE UP FOR EVER,Reboot Active Care Revitalizing Foundation,,Y528,0.447058823529412,#9F6B45,True,528.0,125.0
3007,Anastasia Beverly Hills,Luminous Foundation,,530N,0.245098039215686,#5E331F,True,530.0,91.0
3008,Lancôme,Teint Idole Ultra Wear 24H Long Wear Foundation,Suede C,530,0.345098039215686,#894D27,True,530.0,88.0
3009,Juvia's Place,I Am Magic Foundation,Ibiza,530,0.672549019607843,#E2B075,False,530.0,93.0
3010,CoverGirl,Clean Fresh Skin Milk Foundation,Fair/Light,530,0.782352941176471,#EBC1A4,True,530.0,130.0
3011,Exa,High Fidelity Foundation,Terese,530,0.890196078431372,#F3E3D3,False,530.0,115.0
3012,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,,R530,0.309803921568627,#6B4533,True,530.0,122.0
3013,Rare Beauty by Selena Gomez,Liquid Touch Weightless Foundation,,530N,0.425490196078431,#996340,True,530.0,98.0
3014,MAKE UP FOR EVER,Reboot Active Care Revitalizing Foundation,,R530,0.388235294117647,#8D5939,True,530.0,125.0
3015,MAKE UP FOR EVER,Matte Velvet Skin Blurring Powder Foundation,,R530,0.603921568627451,#C38B71,True,530.0,126.0
3016,HUDA BEAUTY,#FauxFilter Skin Finish Buildable Coverage Foundation Stick,,530R,0.507843137254902,#AA7059,True,530.0,100.0
3017,Gucci,Fluide De Beauté Fini Naturel - Natural Finish Fluid Foundation,,530N,0.313725490196078,#71412F,True,530.0,116.0
3018,MAKE UP FOR EVER,Matte Velvet Skin Full Coverage Foundation,,R530,0.398039215686274,#8D633E,True,530.0,123.0
3019,MAKE UP FOR EVER,Ultra HD Invisible Cover Stick Foundation,,R530,0.484313725490196,#9C6E5B,True,530.0,124.0
3020,HUDA BEAUTY,#FauxFilter Full Coverage Matte Foundation,Coffee Bean,530R,0.356862745098039,#7A533C,True,530.0,101.0
3021,Shiseido,Synchro Skin Self-Refreshing Foundation SPF 30,,530,0.503921568627451,#A07561,True,530.0,117.0
3022,Shiseido,Synchro Skin Self-Refreshing Custom Finish Powder Foundation,Henna,530,0.505882352941176,#A07262,True,530.0,119.0
3023,Origins,Pretty in Bloom™ SPF 20 Flower-Infused Long-Wear Foundation,,530,0.603921568627451,#C7986D,True,530.0,102.0
3024,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,,Y532,0.329411764705882,#694E3F,True,532.0,122.0
3025,MAKE UP FOR EVER,Matte Velvet Skin Full Coverage Foundation,,R532,0.37843137254902,#7D5844,True,532.0,123.0
3026,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,,Y533,0.445098039215686,#966F4D,True,533.0,122.0
3027,MAKE UP FOR EVER,Matte Velvet Skin Full Coverage Foundation,,Y533,0.486274509803922,#9B7A5D,True,533.0,123.0
3028,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,,Y535,0.380392156862745,#78544A,True,535.0,122.0
3029,MAKE UP FOR EVER,Matte Velvet Skin Blurring Powder Foundation,,Y535,0.696078431372549,#E3A480,True,535.0,126.0
3030,MAKE UP FOR EVER,Matte Velvet Skin Full Coverage Foundation,,Y535,0.456862745098039,#977052,True,535.0,123.0
